"brutto","bruttoMonthly","term","medicare","oldAge","disability","unemployment","solidarityFund","socAll","health","fixedExpenses","nonTaxable","taxBase1","taxBase","incomeTax19","incomeTax25","netto","nettoMonthly"
19000,1583.33333333333,12,836,3420,1140,380,902.5,6678.5,2660,11400,3803.33,0,0,0,0,9661.5,805.125
19500,1625,12,858,3510,1170,390,926.25,6854.25,2730,11700,3803.33,0,0,0,0,9915.75,826.3125
20000,1666.66666666667,12,880,3600,1200,400,950,7030,2800,12000,3803.33,0,0,0,0,10170,847.5
20500,1708.33333333333,12,902,3690,1230,410,973.75,7205.75,2870,12300,3803.33,0,0,0,0,10424.25,868.6875
21000,1750,12,924,3780,1260,420,997.5,7381.5,2940,12600,3803.33,0,0,0,0,10678.5,889.875
21500,1791.66666666667,12,946,3870,1290,430,1021.25,7557.25,3010,12900,3803.33,0,0,0,0,10932.75,911.0625
22000,1833.33333333333,12,968,3960,1320,440,1045,7733,3080,13200,3803.33,0,0,0,0,11187,932.25
22500,1875,12,990,4050,1350,450,1068.75,7908.75,3150,13500,3803.33,0,0,0,0,11441.25,953.4375
23000,1916.66666666667,12,1012,4140,1380,460,1092.5,8084.5,3220,13800,3803.33,0,0,0,0,11695.5,974.625
23500,1958.33333333333,12,1034,4230,1410,470,1116.25,8260.25,3290,14100,3803.33,0,0,0,0,11949.75,995.8125
24000,2000,12,1056,4320,1440,480,1140,8436,3360,14400,3803.33,0,0,0,0,12204,1017
24500,2041.66666666667,12,1078,4410,1470,490,1163.75,8611.75,3430,14700,3803.33,0,0,0,0,12458.25,1038.1875
25000,2083.33333333333,12,1100,4500,1500,500,1187.5,8787.5,3500,15000,3803.33,0,0,0,0,12712.5,1059.375
25500,2125,12,1122,4590,1530,510,1211.25,8963.25,3570,15300,3803.33,0,0,0,0,12966.75,1080.5625
26000,2166.66666666667,12,1144,4680,1560,520,1235,9139,3640,15600,3803.33,0,0,0,0,13221,1101.75
26500,2208.33333333333,12,1166,4770,1590,530,1258.75,9314.75,3710,15900,3803.33,0,0,0,0,13475.25,1122.9375
27000,2250,12,1188,4860,1620,540,1282.5,9490.5,3780,16200,3803.33,0,0,0,0,13729.5,1144.125
27500,2291.66666666667,12,1210,4950,1650,550,1306.25,9666.25,3850,16500,3803.33,0,0,0,0,13983.75,1165.3125
28000,2333.33333333333,12,1232,5040,1680,560,1330,9842,3920,16800,3803.33,0,0,0,0,14238,1186.5
28500,2375,12,1254,5130,1710,570,1353.75,10017.75,3990,17100,3803.33,0,0,0,0,14492.25,1207.6875
29000,2416.66666666667,12,1276,5220,1740,580,1377.5,10193.5,4060,17400,3803.33,0,0,0,0,14746.5,1228.875
29500,2458.33333333333,12,1298,5310,1770,590,1401.25,10369.25,4130,17700,3803.33,0,0,0,0,15000.75,1250.0625
30000,2500,12,1320,5400,1800,600,1425,10545,4200,18000,3803.33,0,0,0,0,15255,1271.25
30500,2541.66666666667,12,1342,5490,1830,610,1448.75,10720.75,4270,18300,3803.33,0,0,0,0,15509.25,1292.4375
31000,2583.33333333333,12,1364,5580,1860,620,1472.5,10896.5,4340,18600,3803.33,0,0,0,0,15763.5,1313.625
31500,2625,12,1386,5670,1890,630,1496.25,11072.25,4410,18900,3803.33,0,0,0,0,16017.75,1334.8125
32000,2666.66666666667,12,1408,5760,1920,640,1520,11248,4480,19200,3803.33,0,0,0,0,16272,1356
32500,2708.33333333333,12,1430,5850,1950,650,1543.75,11423.75,4550,19500,3803.33,0,0,0,0,16526.25,1377.1875
33000,2750,12,1452,5940,1980,660,1567.5,11599.5,4620,19800,3803.33,0,0,0,0,16780.5,1398.375
33500,2791.66666666667,12,1474,6030,2010,670,1591.25,11775.25,4690,20000,3803.33,0,0,0,0,17034.75,1419.5625
34000,2833.33333333333,12,1496,6120,2040,680,1615,11951,4760,20000,3803.33,0,0,0,0,17289,1440.75
34500,2875,12,1518,6210,2070,690,1638.75,12126.75,4830,20000,3803.33,0,0,0,0,17543.25,1461.9375
35000,2916.66666666667,12,1540,6300,2100,700,1662.5,12302.5,4900,20000,3803.33,0,0,0,0,17797.5,1483.125
35500,2958.33333333333,12,1562,6390,2130,710,1686.25,12478.25,4970,20000,3803.33,0,0,0,0,18051.75,1504.3125
36000,3000,12,1584,6480,2160,720,1710,12654,5040,20000,3803.33,0,0,0,0,18306,1525.5
36500,3041.66666666667,12,1606,6570,2190,730,1733.75,12829.75,5110,20000,3803.33,0,0,0,0,18560.25,1546.6875
37000,3083.33333333333,12,1628,6660,2220,740,1757.5,13005.5,5180,20000,3803.33,0,0,0,0,18814.5,1567.875
37500,3125,12,1650,6750,2250,750,1781.25,13181.25,5250,20000,3803.33,0,0,0,0,19068.75,1589.0625
38000,3166.66666666667,12,1672,6840,2280,760,1805,13357,5320,20000,3803.33,0,0,0,0,19323,1610.25
38500,3208.33333333333,12,1694,6930,2310,770,1828.75,13532.75,5390,20000,3803.33,0,0,0,0,19577.25,1631.4375
39000,3250,12,1716,7020,2340,780,1852.5,13708.5,5460,20000,3803.33,0,0,0,0,19831.5,1652.625
39500,3291.66666666667,12,1738,7110,2370,790,1876.25,13884.25,5530,20000,3803.33,85.7499999999991,0,0,0,20085.75,1673.8125
40000,3333.33333333333,12,1760,7200,2400,800,1900,14060,5600,20000,3803.33,339.999999999999,0,0,0,20340,1695
